0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.6953172,-0.70351195,-0.5006319,0.657737,-0.2550329,-0.38649985,0.57433206,0.18288606,-0.09662208,0.21584535,-0.062034935,-0.38090256,-0.5116335,-0.4525036,-0.20503572,0.4434119,0.04176704,-0.011761516,-0.1245948,0.19324458,-0.08500173,-0.18813935,0.42768234,-0.392603,0.46699625,-1.0343088,-1.0829395,-0.25598827,-0.11627373,0.121699095,-0.0127673,-0.2783611
-0.19630839,-0.17775804,-2.1607447,1.32314,0.34726724,-0.20768423,0.14530097,2.0067341,-1.5333335,1.7354686,0.65851194,-1.5465021,-0.39312157,-0.9243059,0.34396076,1.2894632,0.34339282,0.49159497,-0.69903,-0.43808362,0.3882838,-0.9982699,0.30392894,-1.0252295,0.19664474,-1.5363505,-2.4965649,-1.9228557,-0.39572406,1.5209873,-0.56820226,-0.6263445
-0.3781795,0.035326257,-1.8256166,1.3542199,0.23384798,0.062220782,0.031741135,1.8925786,-1.6104183,1.6610641,0.6514574,-1.749645,-0.20970014,-0.60511553,0.27481484,1.0743164,0.35794055,0.5937561,-0.85420275,-0.7397611,0.7087581,-0.57174945,-0.1885916,-0.85664606,0.09603009,-1.5012281,-2.0461614,-1.9016341,-0.2538215,1.0301754,-0.7504024,-0.30901787
0.4311824,-0.76377255,-1.7244273,1.9873235,0.6807674,-0.56082964,0.36971787,0.8088433,-0.48704946,1.4664475,0.08070442,-1.6306685,-0.5427982,-0.39948142,0.21904317,2.0671787,0.88361365,1.2246337,-0.40772069,-0.87832814,-0.0579329,0.21054512,-0.053024895,-0.52361935,-0.84703565,-1.4254963,-1.2010934,-0.96983415,0.095498934,0.32786536,-0.39016,-0.1964612
-0.07468326,0.013008326,-1.0832083,1.3185433,0.61464334,0.024351807,0.9990308,1.481816,-1.2265257,1.1059715,0.28777683,-2.2132323,-0.39586738,-0.37494677,-0.24308804,0.91644,1.2824638,0.3583532,-0.6701597,-1.1741709,0.33207232,-0.12662457,-1.6756157,-0.71129405,-0.40274698,-2.958686,-2.137633,-1.2753966,-0.58933777,0.53729695,-1.180361,-1.0915372
-0.41520926,0.21263954,-2.309426,0.8234706,0.59741074,-0.16717795,0.88549006,2.1502554,-1.9602866,1.7372781,0.48139036,-2.3767686,-0.45598665,-0.70866203,-0.17212582,1.2105936,1.0121018,0.6044543,-0.6764274,-1.4085987,0.33729544,-0.77352345,-0.8445136,-0.63820857,-0.6000193,-2.6772368,-2.4506345,-1.7620174,-0.112687424,0.80399626,-0.8853424,-0.64268553
-0.19960234,0.18915716,-2.6795237,1.2329588,0.75914776,-0.30434623,0.21064118,3.4516656,-2.6720707,2.4856005,0.5649758,-2.5611923,-0.17505103,-0.9635075,0.3575725,1.5023643,0.059814416,0.7519371,-1.1541893,-0.9721108,0.70666385,-1.0196208,0.24795687,-1.1046286,0.13016821,-2.090559,-2.7792273,-2.5156763,-0.11290485,1.6540061,-0.6442898,-0.7296851
-0.67387307,-0.26388326,-1.5037969,1.1985855,0.42100114,-0.24622259,1.1085075,1.739398,-1.3442385,1.6864512,-0.930338,-1.8844448,-0.15119123,-0.6187992,-0.51547563,0.64825475,0.56228626,0.6037963,0.2934617,-1.1449652,0.80673397,-0.12108816,-0.6292315,0.023620673,0.13563667,-1.6427602,-2.1222067,-0.9067211,0.3308638,0.47004324,-0.749308,-0.32299685
-0.15145113,-0.43696058,-0.9625936,1.1264464,0.44116032,-0.08155288,1.108076,1.2390987,-0.7679512,1.0659809,-0.10312384,-2.134679,-0.39045122,-0.24011475,-0.6374895,1.0951288,1.1315063,0.8837759,-0.34229627,-0.82430816,0.08867,-0.34483418,-1.6335146,-0.66080636,-0.14328349,-2.667443,-2.0396965,-0.6846079,-0.525594,0.40428272,-1.1509948,-1.2912439
1.4647374,-1.2090477,1.0392852,2.3308678,-1.5540055,0.843557,-0.6084505,-0.7987742,0.988243,0.5238582,0.9738179,0.81538117,0.23703393,1.4687711,-1.27499,1.55057,-0.09299501,1.5526639,0.52603185,1.7470362,1.960599,-1.1553522,-1.286875,-0.5316801,2.017176,-0.34479097,-1.031843,0.19946471,0.13971652,0.90987873,-0.32072803,-1.410906
1.3005592,-2.4276187,1.4986686,2.5905628,-1.816001,0.7857994,0.20393826,-1.1266611,1.9846001,0.46375436,0.5973214,-0.07830754,0.35699138,2.094037,-2.0384326,1.7655842,-0.15022156,2.9957924,0.3856439,2.0304358,1.7039143,-2.0718174,-2.0816088,-0.8882741,2.5521667,-0.4270488,-1.5107435,1.146759,0.3344995,0.7566853,-0.7889226,-2.2175667
1.6804682,-2.0177295,0.4730066,2.9434829,-2.1323328,0.729567,-0.37795502,-1.0951562,2.0192428,1.0371281,0.91520065,0.4035672,-0.25721297,1.7104232,-2.2470353,2.5680792,0.06821893,3.301593,0.7157415,1.8739165,2.623697,-2.0188873,-1.416921,-0.63353217,2.3080955,-0.5816843,-1.4702009,0.8727863,1.0356374,0.5724143,-0.5725377,-1.4947361
1.5144305,-1.8610241,2.4371676,2.891188,-2.3401303,1.40609,0.009974603,-1.5506196,1.3963122,-0.22179365,1.0453848,0.45582423,0.6984096,2.282366,-1.471242,1.213705,0.11728819,2.196395,0.2952746,1.9767591,1.4730079,-1.2595073,-3.2610872,-0.62613034,2.1401224,-1.1654845,-1.2183007,0.38808075,-0.7584875,1.006453,-0.869194,-2.7171328
1.9642594,-2.306184,1.7938551,3.2651105,-2.2020073,0.9041901,0.010223072,-1.042144,2.5332115,0.7049293,0.3784765,0.18927523,0.30078447,1.6498508,-1.4083601,1.7213087,-0.4745699,2.77762,0.16226009,2.5075727,2.2003286,-1.9777417,-1.8992326,-0.8888835,3.0165532,-0.39295372,-1.4799483,0.8749677,-0.2895518,1.0811162,-0.668069,-2.113603
1.9199934,-1.8086292,0.69318724,3.2789974,-1.467204,0.7944338,-0.5102645,-0.9665413,1.8270912,0.8181186,0.37201005,0.27754468,-0.2474635,0.9875273,-1.5106952,2.3271844,0.048482373,2.2077813,0.7259158,1.8926787,1.8181236,-0.9523016,-0.89055926,-0.79179335,1.8183242,-0.5204984,-1.0407406,0.62619156,0.33910996,0.7668817,-0.37324387,-1.2230436
0.77962285,-2.6415508,1.633171,0.9953266,-1.8905239,0.88195425,0.76949924,-1.4390925,2.309385,-0.5498221,0.26479727,-0.42248395,0.21535325,2.6496346,-2.0455077,0.91599977,-0.47803172,2.734917,0.48626256,2.035276,0.59808123,-2.09817,-2.4267168,-0.42907602,2.1822472,-0.6001815,-1.1051545,1.4851159,-0.24317172,0.16049111,-0.7667968,-2.465575
1.5639352,-2.7469857,0.61952287,2.6932023,-1.923157,0.84803283,-0.063826755,-0.96730673,2.903277,0.81519973,-0.030883797,-0.89187586,-0.4864606,2.1901538,-2.1728358,2.3774931,-0.42761233,3.8066401,0.45713657,2.2776732,2.2570522,-2.2164557,-2.0366905,-0.84916013,2.6975904,-0.73126763,-1.3869417,1.7932348,0.90389204,0.07206825,-0.97023517,-1.9429071
1.3992653,-0.6298934,-0.6231003,2.5764556,-1.551868,-0.23808026,0.59408027,1.5076993,0.023473606,2.4502842,0.64694273,-0.11057497,0.31940287,0.039384037,-1.7682822,1.8289096,-0.34110746,2.5315893,-0.86102635,0.35708943,4.4498224,-2.2015595,-0.29995596,-0.29364198,2.5703878,-1.1580657,-3.1774724,-1.4154956,1.1765361,1.2120701,-0.64254624,-0.6185942
0.65660346,-2.2881086,1.8177108,0.8987876,-2.6239262,0.93831307,0.5647408,-1.3586727,2.0221124,-0.35580453,0.45107782,-0.11547693,0.49486953,2.5690215,-1.810258,0.6142678,-0.8611494,3.0227363,0.4405148,2.2115946,1.3136141,-2.6157198,-3.0021842,-0.39153388,2.5760453,-0.5643244,-1.4767905,1.5895444,0.012022626,0.440838,-0.92158085,-2.788943
1.3014401,-1.4113008,0.7755644,2.0259256,-1.6578836,-0.0810243,0.8090261,0.36250997,2.0693521,1.3780068,0.0526189,-0.7056271,0.22147542,0.80987525,-1.4636502,1.271379,-0.32582277,2.8469782,-1.0001668,1.1638166,2.8985443,-2.4022908,-1.2722743,-0.6764858,2.6268415,-0.6194149,-1.915363,0.2576462,0.22957265,0.9213128,-0.6782823,-1.7456858
0.6670237,-2.3200362,-0.60476196,1.0502175,0.41623968,0.32300323,0.6245391,-1.1095693,1.9707837,0.6139214,-1.3733652,0.5946097,-0.13705349,0.8076645,-0.48646387,-0.06473068,-0.5071283,-1.2733995,1.3241309,1.7243642,-0.6369749,0.16056547,0.2894724,1.943563,0.1279774,-0.7945076,-0.24735937,0.7637087,-1.9525793,0.49133432,0.8570263,-0.47271279
